,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,3
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,9
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,5
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,9
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,9
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,9
19,10
20,5
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,3
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,4
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,4
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,4
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,10
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,3
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,4
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,2
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,4
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,9
19,10
20,5
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,2
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,4
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,4
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,4
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,9
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,3
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,9
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,4
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,9
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,5
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,4
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,7
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,3
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,1
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,5
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,8
19,10
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,6
19,10
20,2
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,4
19,10
20,3
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,9
